Wavenumber,0-1,1-1,10-1,11-1,2-1,4-1,5-1,6-1,7-1,8-1,9-1
1017.8558,3217039.0,2593136.0,1964035.0,1952202.0,2266041.0,2110513.0,1970108.0,1993014.0,1977185.0,1970249.0,2009054.0
1019.1081,3250116.0,2607362.0,1964891.0,1953868.0,2273339.0,2113223.0,1970744.0,1994394.0,1978134.0,1970820.0,2009146.0
1020.3618,3259500.0,2609564.0,1959395.0,1946773.0,2271609.0,2107114.0,1965922.0,1989840.0,1974481.0,1966574.0,2004990.0
1021.6138,3256274.0,2604861.0,1956617.0,1945511.0,2266934.0,2105953.0,1964459.0,1985869.0,1972578.0,1964788.0,2002786.0
1022.8656,3242093.0,2595857.0,1959377.0,1946709.0,2263662.0,2104405.0,1965815.0,1986538.0,1973420.0,1963854.0,2003632.0
1024.1189,3200947.0,2571778.0,1954072.0,1941696.0,2250277.0,2097381.0,1959558.0,1983080.0,1967938.0,1960736.0,1998793.0
1025.3704,3147948.0,2542727.0,1952536.0,1940089.0,2235744.0,2092268.0,1954990.0,1978246.0,1964864.0,1957974.0,1997700.0
1026.6218,3081902.0,2508757.0,1950149.0,1938508.0,2217196.0,2086187.0,1953277.0,1976836.0,1962194.0,1955449.0,1994184.0
1027.8746,3006294.0,2470539.0,1948004.0,1935836.0,2198296.0,2079922.0,1948341.0,1973960.0,1960210.0,1953981.0,1992202.0
1029.1259,2930683.0,2429247.0,1946820.0,1934716.0,2178342.0,2074085.0,1944984.0,1972054.0,1957931.0,1952983.0,1991202.0
1030.3768,2846495.0,2386825.0,1942378.0,1931779.0,2156910.0,2065582.0,1940285.0,1965609.0,1953896.0,1949142.0,1987691.0
1031.6278,2769412.0,2347528.0,1941287.0,1930186.0,2137549.0,2060217.0,1937421.0,1963469.0,1951654.0,1946364.0,1986244.0
1032.88,2695164.0,2308661.0,1938088.0,1927506.0,2118450.0,2054165.0,1931971.0,1960351.0,1948736.0,1944145.0,1983283.0
1034.1306,2619022.0,2270464.0,1933407.0,1922027.0,2096930.0,2044532.0,1926011.0,1954141.0,1942844.0,1938585.0,1978349.0
1035.3811,2562980.0,2242041.0,1934892.0,1922916.0,2085499.0,2043027.0,1927240.0,1954977.0,1944890.0,1939399.0,1979290.0
1036.6313,2511221.0,2216652.0,1930437.0,1919953.0,2071075.0,2037474.0,1921600.0,1951277.0,1941591.0,1936570.0,1975365.0
1037.8816,2470929.0,2196602.0,1927805.0,1917285.0,2060594.0,2032785.0,1917407.0,1947834.0,1938365.0,1932748.0,1971981.0
