Wavenumber,1-ocp_02,10--1_2v_01,11--1_3v_01,12--1_4v_01,13--1_5v_01,14--1_6v_01,15--1_7v_01,16--1_8v_01,17--1_9v_01,18--1_7v-b_01,18--1_8v-b_01,19--1_6v-b_01,2--0_4v_01,20--1_5v-b_01,21--1_4v-b_01,22--1_3v-b_01,23--1_2v-b_01,24--1_1v-b_01,25--1v-b_01,26--0_9v-b_01,27--0_8v-b_01,28--0_7v-b_01,29--0_6v-b_01,3--0_5v_01,30--0_5v-b_01,31--0_4v-b_01,32--ocp-b_01,34--2v-b_01,4--0_6v_01,5--0_7v_01,6--0_8v_01,7--0_9v_01,8--1v_01,9--1_1v_01
28.6814,1510.47,2154.39,1987.68,1906.16,1838.04,1836.58,1927.85,1908.96,1846.69,1494.27,1553.37,1423.34,1769.55,1364.85,1358.03,1332.31,1404.45,1360.1,1412.25,1335.6,1378.86,1468.19,2061.53,2022.9,1477.94,1413.23,1241.28,530.951,2399.7,2640.62,2409.08,2099.8,2173.04,2116.49
29.0216,1490.19,2153.43,1953.76,1911.83,1835.77,1845.64,1919.75,1889.28,1839.54,1482.02,1560.16,1436.07,1761.65,1355.49,1340.86,1341.47,1399.62,1364.51,1419.24,1333.06,1365.37,1465.57,2040.55,2013.86,1477.02,1415.47,1237.13,530.007,2374.43,2603.96,2392.35,2091.75,2165.5,2110.64
29.3618,1476.69,2138.35,1964.98,1890.24,1826.97,1831.6,1922.8,1881.22,1828.06,1472.67,1546.43,1420.97,1758.33,1358.8,1337.09,1324.05,1383.55,1355.75,1422.44,1331,1370.74,1457.43,2028.62,2005.7,1486.81,1400.25,1260.28,527.181,2353.54,2621.88,2368.9,2094.95,2149.81,2102.63
29.7019,1494.68,2115.03,1956.53,1882.89,1819,1823.02,1901.54,1870.94,1803.63,1475.9,1546.98,1419.08,1744.14,1358.73,1334.59,1338.86,1398.6,1359.58,1406.89,1321.91,1365.31,1449.69,2037.73,1991.03,1468.71,1407.5,1239.24,521.229,2363.51,2592.73,2374.37,2091.38,2135.15,2109.06
30.042,1474.37,2121.21,1967.49,1879.1,1811.93,1823.39,1864.11,1849.84,1805.47,1475.71,1528.25,1420.73,1724.64,1344.05,1325.15,1319.54,1408.17,1361.23,1404.27,1321.74,1374.77,1457.54,2042.46,1986.87,1493.38,1405.61,1238.47,522.989,2351.99,2601.78,2364.3,2084.64,2146.33,2098.78
30.3821,1469.88,2106.9,1946.64,1862.79,1803.81,1798.08,1891.07,1870.11,1792.35,1474.64,1514,1400.78,1732.27,1345.45,1317.3,1325.22,1385.43,1348.74,1389.33,1306.45,1384.94,1459.4,2031.95,1981.01,1467.81,1398.22,1230.16,523.922,2322.25,2580.98,2351.5,2059.25,2133.59,2093.37
30.7222,1444.58,2101.88,1944.01,1868.97,1804.29,1804.53,1875.55,1857.64,1790.28,1467.35,1512.3,1414.12,1730.35,1337.87,1317.89,1318.26,1387.2,1360.16,1405.35,1322.4,1366.74,1457.37,2024.89,1968.49,1478.44,1391.22,1229.7,515.755,2324.79,2570.73,2356.71,2066.92,2123.19,2086.16
31.0623,1454.91,2091.61,1922.14,1857.87,1792.49,1795.9,1878.81,1844.47,1787.5,1467.57,1516.87,1413.03,1713.36,1343.03,1310.16,1322.09,1397.57,1343.64,1408.77,1312.72,1374.2,1457.95,2022.46,1975.71,1478.4,1376.87,1225.19,516.419,2302.21,2555.8,2333.38,2053.5,2120.82,2063.85
31.4024,1455.89,2078.66,1917.59,1844.59,1776.7,1767.34,1846.54,1829.14,1773.54,1450.78,1498.96,1390.56,1718.79,1337.88,1316.83,1310.75,1381.44,1347.61,1384.6,1312.7,1360.75,1451.15,2044.6,1951.53,1470.37,1390.32,1225.47,510.358,2310.66,2535.13,2334.14,2059.2,2107.13,2062.24
31.7424,1450.07,2072.56,1909.28,1847.4,1773.96,1770.8,1848.61,1829.4,1778.58,1443.87,1495.55,1392.93,1696.76,1325.33,1311.84,1311.35,1373.24,1340.9,1388.68,1316.7,1370.68,1447.52,2032.8,1929.1,1484.36,1376.15,1203.15,505.769,2284.47,2544.17,2319.12,2034.38,2115.96,2048.85
32.0825,1447.18,2073.8,1911.83,1837.95,1775.74,1768.45,1843.05,1808.18,1754.11,1441.34,1497.72,1394.32,1681.57,1319.35,1303.31,1309.02,1385.81,1339.03,1396.51,1310.84,1364.67,1453.62,2024.47,1943.18,1472.21,1388.97,1217.52,496.122,2283.28,2538.21,2315.36,2047.55,2105.03,2044.27
32.4225,1438.4,2070.82,1908.68,1842.97,1773.26,1773.26,1831.56,1815.77,1759.41,1429.41,1484.43,1369.9,1682.04,1321.44,1309.42,1307.11,1389.46,1341.36,1405.61,1314.76,1359.46,1452.73,2025.52,1951.68,1476.78,1379.25,1204.11,502.342,2291.02,2523.13,2311.43,2030.26,2094.99,2056.49
32.7625,1420.64,2065.28,1910.46,1819.52,1761.23,1764.27,1820.61,1808.59,1749.21,1434.12,1484.15,1387.13,1684.37,1304.93,1300.31,1290.96,1379.36,1349.25,1390.41,1320.23,1360.18,1452.82,2020.23,1927.46,1463.63,1367.22,1213.74,500.018,2286.99,2520.98,2290.15,2016.59,2105.1,2036.14
33.1025,1424.25,2060.67,1915.1,1837.04,1756.91,1745.86,1835.7,1786.41,1744.77,1446.46,1483.13,1380.42,1670.34,1311.82,1301.99,1289.97,1374.71,1341.45,1383.94,1334.4,1365.12,1447.44,2005.31,1923.11,1472.69,1374.1,1193.81,495.105,2277.63,2504.78,2301.55,2019.39,2096.24,2024.98
33.4425,1423.05,2059.72,1884.53,1818.36,1749.28,1754.86,1831.47,1770.89,1744.66,1441.02,1478.9,1380.31,1676.19,1317.79,1299.33,1293.63,1378.98,1330.66,1382.38,1331.87,1360.77,1450.37,2033.74,1922.17,1477.32,1373.03,1186.42,494.139,2266.97,2503.72,2289.31,2030.83,2088.13,2036.29
33.7824,1421.95,2045.07,1894.39,1818.99,1751.11,1746.26,1821.9,1787.18,1746.26,1428.38,1468.21,1374.23,1666.97,1310.36,1302.59,1303.08,1370.1,1344.48,1390.13,1319.47,1378.72,1441.49,2013.02,1919.16,1474.16,1373.13,1189.06,492.842,2253.31,2499.67,2296.29,2013.74,2082.23,2035.6
34.1224,1416.35,2041.34,1885.79,1814.39,1734.37,1736.31,1796.54,1771.65,1721.01,1421.08,1470.99,1357.46,1667.22,1313.38,1300.63,1289.21,1381.26,1343.49,1400.44,1305.97,1372.63,1445.61,2010.02,1912.27,1455.93,1365.11,1193.16,501.988,2249.84,2504.84,2273.39,2012.08,2073.28,2019.24
34.4623,1414.92,2045.26,1887.89,1816.73,1745.57,1737.32,1812.48,1778.72,1735.13,1427.79,1473.45,1362.58,1657.17,1313.4,1277.82,1287.41,1372.9,1325.54,1389.29,1302.71,1375.09,1457.78,2027.9,1905.74,1482.31,1358.45,1191.12,493.496,2234.82,2491.89,2273.8,2009.44,2090.44,2020.13
