Wavenumber,Original,Predicted_Baseline,Corrected_Predicted,Default_Baseline,Corrected_Default
50.4075,1286.01,1092.3158093959817,193.69419060401833,1280.4690560321299,5.540943967870135
50.7468,1278.46,1088.8874749410793,189.57252505892075,1278.4643751797662,-0.004375179766157089
51.0845,1275.97,1085.52882813109,190.44117186891003,1276.4597381652582,-0.48973816525813163
51.4237,1283.48,1082.239348971211,201.240651028789,1274.4600151160923,9.019984883907682
51.7629,1274.31,1079.0185174666394,195.29148253336052,1272.4602920669265,1.8497079330734323
52.1005,1268.84,1075.865813622572,192.97418637742794,1270.4605690177605,-1.6205690177605447
52.4397,1272.22,1072.7807174442053,199.43928255579476,1268.4771616084124,3.742838391587611
52.7773,1268.63,1069.7627089367345,198.8672910632656,1266.4937541990641,2.136245800935967
53.1164,1253.19,1066.8112681053547,186.3787318946454,1264.5103467897159,-11.320346789715813
53.4556,1269.12,1063.925874955261,205.19412504473894,1262.6440300272025,6.475969972797429
53.7932,1267.43,1061.106009491648,206.32399050835215,1260.7777132646888,6.652286735311236
54.1322,1266.37,1058.3511517197103,208.0188482802896,1258.9113965021754,7.45860349782447
54.4698,1259.42,1055.6607816446422,203.75921835535792,1257.0450797396622,2.3749202603378308
54.8089,1258.28,1053.034379271637,205.24562072836306,1255.1787629771488,3.1012370228511372
55.1464,1259.77,1050.471424605887,209.29857539411296,1253.3124462146352,6.45755378536478
55.4854,1246.66,1047.9713976525843,198.68860234741578,1251.446129452122,-4.786129452121941
55.8244,1260.79,1045.5337784169203,215.25622158307965,1249.628447205544,11.161552794455929
56.1619,1258.28,1043.158046904086,215.12195309591402,1247.810764958966,10.469235041033926
56.5009,1255.29,1040.843683119272,214.44631688072786,1245.993082712388,9.296917287611905
56.8383,1243.04,1038.5901670676697,204.4498329323303,1244.1754004658103,-1.135400465810335
57.1773,1246.08,1036.3969787544697,209.6830212455302,1242.369140336308,3.710859663691963
57.5147,1230.35,1034.2635981848628,196.08640181513715,1240.5628802068054,-10.212880206805494
57.8537,1242.08,1032.1895053640387,209.8904946359612,1238.861966913909,3.218033086090827
58.1911,1236.45,1030.1741802971871,206.2758197028129,1237.161053621013,-0.7110536210129794
58.53,1246.36,1028.2171029894969,218.14289701050302,1235.4672844696822,10.892715530317673
58.8673,1239.8,1026.3177534461572,213.48224655384274,1233.7735153183512,6.026484681648753
59.2062,1241.39,1024.4756116723563,216.9143883276438,1232.0797461670204,9.310253832979697
